gvkey,tic,conm,fyear,sale,cogs,xsga,oiadp,ni,at
002968,JPM,JPMORGAN CHASE & CO,2024,278803.0,112028.0,56383.0,102454.0,58471.0,4002814.0
007647,BAC,BANK OF AMERICA CORP,2024,192434.0,96368.0,47471.0,46406.0,27132.0,3261519.0
003243,C,CITIGROUP INC,2024,170731.0,99379.0,,67041.0,12682.0,2352945.0
008007,WFC,WELLS FARGO & CO,2024,125397.0,47435.0,38781.0,39181.0,19722.0,1929845.0
114628,GS,GOLDMAN SACHS GROUP INC,2024,126853.0,52934.0,,71841.0,14276.0,1675972.0
144496,UBS,UBS GROUP AG,2024,84518.0,34070.0,,47080.0,5085.0,1565028.0
015576,DB,DEUTSCHE BANK AG,2024,67646.29,36924.424,13826.6,16895.266,4495.327,1440153.992
012124,MS,MORGAN STANLEY,2024,107285.0,49372.0,,52752.0,13390.0,1215071.0
002176,BRK.B,BERKSHIRE HATHAWAY,2024,424232.0,297006.0,,114371.0,88995.0,1153881.0
143356,PRU,PRUDENTIAL FINANCIAL INC,2024,70348.0,53854.0,11003.0,5108.0,2727.0,735587.0
004723,USB,US BANCORP,2024,42712.0,17615.0,11800.0,12358.0,6299.0,678318.0
133768,MET,METLIFE INC,2024,70986.0,58991.0,4688.0,6675.0,4426.0,677457.0
064768,AMZN,AMAZON.COM INC,2024,637959.0,294221.0,242315.0,69438.0,59248.0,624894.0
008245,PNC,PNC FINANCIAL SVCS GROUP INC,2024,34440.0,13674.0,9783.0,9932.0,5889.0,560038.0
011856,TFC,TRUIST FINANCIAL CORP,2024,24253.0,12845.0,7535.0,2894.0,4818.0,531176.0
012141,MSFT,MICROSOFT CORP,2024,245122.0,54114.0,61575.0,109433.0,88136.0,512163.0
002369,BN,BROOKFIELD CORP,2024,87253.0,53243.0,5008.0,19241.0,641.0,490424.0
030990,COF,CAPITAL ONE FINANCIAL CORP,2024,53965.0,42342.0,,10446.0,4750.0,490144.0
013988,SCHW,SCHWAB (CHARLES) CORP,2024,25999.0,13624.0,,10959.0,5942.0,479843.0
004503,XOM,EXXONMOBIL HOLDINGS CORP,2024,339247.0,265351.0,10802.0,39652.0,33680.0,453475.0
160329,GOOGL,ALPHABET INC,2024,350018.0,130842.0,90759.0,113106.0,100118.0,450256.0
002019,BNY,BANK OF NEW YORK MELLON CORP,2024,39914.0,21365.0,7667.0,9079.0,4530.0,416064.0
