ticker,company,sector,industry_code,exchange,state,ipo_date,fiscal_year_end,employees,sales,cogs,sga,r_and_d,ebitda,ebit,interest_expense,net_income,dividends,capex,cfo,total_assets,total_liabilities,total_debt,cash,book_equity,shares_out,price,mktcap,ret_2025,vol,beta_2025
ATLC,Atlanticus Holdings Corp,Financials,402020,NASDAQ,GA,1999-04-23,2025-12-31,0.576,865.344,391.12,,,474.224,468.416,301.903,122.204,0.0,5.024,637.963,7623.088,6979.258,6542.606,767.407,608.7,14.922,66.95,999.028,0.2003,0.514,1.5093
LGIH,Lgi Homes Inc,Consumer Discretionary,252010,NASDAQ,TX,2013-11-07,2025-12-31,1.056,1705.504,1351.958,269.448,,84.098,79.776,126.847,72.552,0.0,0.924,-139.973,3927.242,1830.953,1669.918,61.247,2096.289,23.133,42.96,993.794,-0.5195,0.557,0.9771
PUMP,Propetro Holding Corp,Energy,101010,NYSE,TX,2017-03-17,2025-12-31,1.7,1269.158,968.175,109.825,,191.158,16.262,8.238,0.824,0.0,186.316,231.607,1290.89,461.048,213.225,91.334,829.842,104.31,9.51,991.988,0.0193,0.849,2.0579
GO,Grocery Outlet Hldng Corp,Consumer Staples,301010,NASDAQ,CA,2019-06-20,2025-12-31,2.207,4688.759,3243.511,1340.725,0.0,104.523,-25.733,34.384,-224.912,0.0,198.333,222.133,3091.099,2107.436,1809.702,69.602,983.663,98.153,10.1,991.345,-0.353,0.68,0.0961
ASTE,Astec Industries Inc,Industrials,201060,NASDAQ,TN,,2025-12-31,4.468,1410.4,992.5,299.2,26.9,118.7,82.4,18.5,38.8,11.9,40.7,61.4,1367.2,685.6,363.0,74.1,681.7,22.878,43.32,991.075,0.3056,0.389,1.062
SAFE,Safehold Inc,Real Estate,601080,NYSE,NY,2017-06-22,2025-12-31,0.072,404.441,12.736,60.901,,330.804,328.418,206.686,114.469,51.204,0.0,47.814,7249.275,4809.396,4591.509,30.736,2408.311,71.756,13.69,982.34,-0.2251,0.385,0.6632
DEA,Easterly Government Pptys,Real Estate,601040,NYSE,DC,2015-02-06,2025-12-31,0.055,342.88,227.853,27.016,0.0,,88.011,73.296,13.003,89.978,0.0,259.194,3379.77,2010.205,1669.783,33.631,1323.132,46.303,21.19,981.161,-0.1866,0.286,0.6245
EVER,Everquote Inc,Communication Services,502030,NASDAQ,MA,2018-06-28,2025-12-31,0.356,692.521,15.564,606.578,31.504,70.379,66.568,0.0,99.311,0.0,5.057,95.381,326.913,88.873,2.567,171.379,238.04,36.246,27.0,978.642,0.3507,0.573,1.0388
PNTG,Pennant Group Inc (The),Health Care,351020,NASDAQ,ID,,2025-12-31,9.7,947.705,816.7,71.077,0.0,59.928,51.39,6.678,29.578,0.0,12.039,48.294,968.179,593.927,459.824,17.024,332.603,34.626,28.15,974.722,0.0615,0.377,0.5501
IART,Integra Lifesciences Holdngs,Health Care,351010,NASDAQ,NJ,1995-08-16,2025-12-31,4.427,1635.245,578.882,738.015,98.971,318.348,166.448,91.255,-516.474,0.0,81.436,50.384,3602.001,2558.538,2033.184,263.741,1043.463,77.887,12.42,967.357,-0.4524,0.625,1.3219
PRCH,Porch Group Inc,Financials,403010,NASDAQ,WA,,2025-12-31,0.803,482.414,117.956,303.464,,60.994,36.526,52.323,-3.361,0.0,14.361,66.419,797.423,775.037,394.715,189.391,-24.619,105.809,9.13,966.036,0.8557,1.282,2.1066
NRDS,Nerdwallet Inc,Financials,402020,NASDAQ,CA,2021-11-04,2025-12-31,0.65,836.6,17.3,703.3,66.7,116.0,69.6,0.6,48.7,0.0,18.2,131.6,461.1,86.6,14.9,100.6,374.5,71.289,13.55,965.966,0.0188,0.573,1.2645
BFLY,Butterfly Network Inc,Health Care,351010,NYSE,MA,,2025-12-31,0.22,97.61,30.125,128.223,36.262,-60.738,-68.819,1.49,-77.064,0.0,3.348,-12.7,296.533,100.554,20.398,150.489,195.979,253.745,3.8,964.231,0.2179,1.016,2.4207
DAWN,Day One Biopharmaceutcls Inc,Health Care,352010,NASDAQ,CA,2021-05-27,2025-12-31,0.178,158.182,13.734,268.722,148.135,-124.274,-127.75,0.0,-107.322,0.0,0.32,-103.757,507.827,66.665,2.793,441.113,441.162,102.983,9.32,959.802,-0.2644,0.687,1.1365
CDNA,Caredx Inc,Health Care,352010,NASDAQ,CA,2014-07-17,2025-12-31,0.765,379.805,110.362,274.874,71.429,-5.431,-20.449,0.0,-21.354,0.0,5.913,42.032,413.228,110.127,26.194,177.208,303.101,50.917,18.84,959.276,-0.12,0.702,1.2834
CMPX,Compass Therapeutics Inc,Health Care,352010,NASDAQ,MA,,2025-12-31,0.039,0.0,0.0,72.563,55.969,-72.563,-72.839,0.0,-66.489,0.0,0.025,-49.143,219.588,22.797,9.829,208.906,196.791,178.324,5.37,957.6,2.7035,0.917,1.4137
OPK,Opko Health Inc,Health Care,351020,NASDAQ,FL,1995-11-02,2025-12-31,2.275,606.879,387.202,347.035,124.033,-127.358,-218.985,108.462,-225.68,0.0,12.278,-178.542,1931.944,663.985,396.782,369.074,1267.959,759.068,1.26,956.426,-0.1429,0.393,0.762
TBPH,Theravance Biopharma Inc,Health Care,352020,NASDAQ,CA,,2025-12-31,0.09,107.464,109.566,,37.414,-2.102,-3.602,2.461,105.895,0.0,0.042,238.541,485.57,188.847,75.498,315.357,296.723,51.069,18.71,955.501,0.9883,0.488,0.5548
GILT,Gilat Satellite Networks Ltd,Information Technology,452010,NASDAQ,,1993-03-25,2025-12-31,1.159,451.657,298.983,108.122,46.651,44.552,20.901,8.126,20.723,0.0,11.49,20.675,746.054,245.776,8.059,185.428,500.278,73.831,12.94,955.373,1.1041,0.567,1.4214
AMAL,Amalgamated Financial Corp,Financials,401010,NASDAQ,NY,,2025-12-31,0.45,453.169,140.768,111.94,,200.461,193.665,,104.447,17.322,1.379,135.782,8869.836,8075.372,81.802,339.879,794.464,29.818,32.03,955.071,-0.025,0.322,0.8568
BCAX,Bicara Therapeutics Inc,Health Care,352010,NASDAQ,MA,2024-09-13,2025-12-31,0.103,0.0,0.0,155.499,125.096,-155.499,-155.604,0.0,-137.95,0.0,0.28,-106.834,430.994,29.542,1.71,414.801,401.452,56.601,16.83,952.595,-0.0339,0.873,1.4532
RCAT,Red Cat Holdings Inc,Industrials,201010,NASDAQ,UT,,2025-12-31,0.244,40.729,37.19,67.871,17.89,-64.332,-66.597,,-72.075,0.0,6.647,-89.134,273.677,27.845,18.435,167.865,245.832,120.07,7.93,952.155,-0.3829,1.169,2.6842
DAKT,Daktronics Inc,Information Technology,452030,NASDAQ,SD,1994-02-10,2026-04-30,2.693,838.706,591.97,164.376,43.458,82.36,64.63,2.428,45.376,0.0,14.917,49.217,554.412,253.665,18.132,131.639,300.747,48.244,19.66,948.477,0.1726,0.51,1.1652
UVE,Universal Insurance Hldgs,Financials,403010,NYSE,FL,1992-12-14,2025-12-31,0.929,1603.915,1348.124,,,255.791,249.491,6.422,182.951,22.345,4.438,381.493,2839.695,2288.66,100.481,638.396,551.035,28.008,33.8,946.67,0.6537,0.335,0.4624
MFA,Mfa Financial Inc,Financials,402040,NYSE,NY,,2025-12-31,0.307,893.959,155.991,,0.0,,737.968,513.98,176.783,147.305,0.0,76.245,13046.449,11218.754,10993.445,386.668,1827.501,101.663,9.31,946.483,0.0596,0.285,0.803
EPC,Edgewell Personal Care Co,Consumer Staples,303020,NYSE,CT,2000-03-27,2025-09-30,6.7,2223.5,1201.3,723.6,57.6,298.6,209.8,73.2,25.4,28.8,77.0,118.4,3756.3,2203.2,1485.3,225.7,1553.1,46.464,20.36,946.007,-0.4794,0.401,0.6342
PRSU,Pursuit Attrc And Hsptly Inc,Consumer Discretionary,253010,NYSE,CO,,2025-12-31,2.1,452.417,260.75,69.329,,122.338,76.268,8.823,22.668,0.0,75.02,74.27,965.425,305.041,195.221,31.694,581.833,28.009,33.68,943.343,-0.2077,0.422,1.1526
MLTX,Moonlake Immunotherapeutics,Health Care,352010,NASDAQ,,2020-10-20,2025-12-31,0.13,0.0,0.0,242.218,202.862,-242.218,-244.834,7.248,-227.318,0.0,0.035,-196.007,424.433,119.952,75.708,393.968,304.481,71.374,13.18,940.709,-0.7566,1.087,0.6565
ACEL,Accel Entertainment Inc,Consumer Discretionary,253010,NYSE,IL,,2025-12-31,1.6,1330.96,916.548,219.336,,195.076,119.726,34.198,51.47,0.0,88.923,150.875,1103.393,829.63,616.647,296.566,269.683,82.287,11.41,938.895,0.0684,0.328,0.5887
